model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
B4,2,inter_peak,45,45min,176687,1.41381860,2.14401126,6.78007078,7.93955040,5
B4,2,inter_peak,60,60min,176687,1.42062128,2.15355349,6.81269312,7.97675705,5
B4,2,inter_peak,-1,mean,706748,1.41034114,2.13800859,6.76339436,7.91209030,20
B4,2,pm_peak,15,15min,87655,1.71905732,2.69752812,8.55295849,10.57866573,3
B4,2,pm_peak,30,30min,87655,1.74331200,2.75692821,8.67363453,10.77470493,3
B4,2,pm_peak,45,45min,87655,1.76047719,2.79521775,8.75903702,10.93175411,3
B4,2,pm_peak,60,60min,87655,1.77349234,2.81997514,8.82379246,11.08080006,3
B4,2,pm_peak,-1,mean,350620,1.74908483,2.76779747,8.70235634,10.84148121,12
B4,2,off_peak,15,15min,275519,1.83409834,2.73709273,7.77455711,9.30605793,30
B4,2,off_peak,30,30min,276340,1.82810295,2.73344517,7.75306320,9.28226662,28
B4,2,off_peak,45,45min,277070,1.82340968,2.72733450,7.73563004,9.24316597,25
B4,2,off_peak,60,60min,277737,1.82186115,2.72055244,7.73126316,9.23257351,26
B4,2,off_peak,-1,mean,1106666,1.82685399,2.72959495,7.74858570,9.26592922,109
B5,0,all,15,15min,628205,1.66244578,2.51763344,7.57431746,9.01707935,39
B5,0,all,30,30min,629026,1.66961384,2.53628707,7.60804939,9.07721424,37
B5,0,all,45,45min,629756,1.67698646,2.54826498,7.64213896,9.12882805,34
B5,0,all,60,60min,630423,1.68554187,2.55945468,7.68155956,9.19287014,35
B5,0,all,-1,mean,2517410,1.67365825,2.54047751,7.62656498,9.10408211,145
B5,0,am_peak,15,15min,88344,1.58978641,2.34576964,7.62393713,8.77289104,1
B5,0,am_peak,30,30min,88344,1.59811962,2.38401771,7.66389942,8.87912750,1
B5,0,am_peak,45,45min,88344,1.61470222,2.42166305,7.74342251,9.04089928,1
B5,0,am_peak,60,60min,88344,1.63524401,2.46036100,7.84193182,9.23270416,1
B5,0,am_peak,-1,mean,353376,1.60946310,2.40333104,7.71829796,8.98140526,4
B5,0,inter_peak,15,15min,176687,1.39589536,2.10782051,6.69411850,7.84712648,5
B5,0,inter_peak,30,30min,176687,1.40630674,2.12820554,6.74404669,7.91764116,5
B5,0,inter_peak,45,45min,176687,1.41311085,2.13759303,6.77667618,7.96361876,5
B5,0,inter_peak,60,60min,176687,1.42009223,2.14736462,6.81015635,8.00318241,5
B5,0,inter_peak,-1,mean,706748,1.40885139,2.13029599,6.75624990,7.93289185,20
B5,0,pm_peak,15,15min,87655,1.71349275,2.68584347,8.52527142,10.63023853,3
B5,0,pm_peak,30,30min,87655,1.74240696,2.74830198,8.66913128,10.84150124,3
B5,0,pm_peak,45,45min,87655,1.76479185,2.78955126,8.78050423,11.01011276,3
B5,0,pm_peak,60,60min,87655,1.78112185,2.81825733,8.86175156,11.16981030,3
B5,0,pm_peak,-1,mean,350620,1.75045335,2.76093698,8.70916462,10.91291523,12
B5,0,off_peak,15,15min,275519,1.84043884,2.74656677,7.80143356,9.33246422,30
B5,0,off_peak,30,30min,276340,1.83773398,2.74480152,7.79390860,9.32234287,28
B5,0,off_peak,45,45min,277070,1.83734047,2.74116278,7.79473019,9.30475807,25
B5,0,off_peak,60,60min,277737,1.84024549,2.73929119,7.80927849,9.31312084,26
B5,0,off_peak,-1,mean,1106666,1.83893919,2.74294853,7.79984426,9.31814575,109
B5,1,all,15,15min,628205,1.66331506,2.52646780,7.57827759,9.00979137,39
B5,1,all,30,30min,629026,1.67113721,2.54697633,7.61499119,9.07354164,37
B5,1,all,45,45min,629756,1.67851615,2.56023550,7.64911032,9.12926865,34
