model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
iTransformer,0,am_peak,15,15分钟,88342,1.68813014,2.55717325,8.07421017,9.40115643,1
iTransformer,0,am_peak,30,30分钟,88342,1.88376176,2.86052513,9.00990200,10.50437641,1
iTransformer,0,am_peak,45,45分钟,88342,2.07082820,3.12126541,9.90462780,11.59257221,1
iTransformer,0,am_peak,60,60分钟,88342,2.24559474,3.35307407,10.74052429,12.66678619,1
iTransformer,0,am_peak,-1,四时距汇总,353368,1.97207868,2.98777270,9.43231487,11.04122353,4
iTransformer,0,inter_peak,15,15分钟,176681,1.38607800,2.10633945,6.64332438,7.85798645,4
iTransformer,0,inter_peak,30,30分钟,176681,1.42282116,2.18480515,6.81942987,8.10037613,4
iTransformer,0,inter_peak,45,45分钟,176681,1.45878041,2.24064302,6.99177885,8.32348824,4
iTransformer,0,inter_peak,60,60分钟,176681,1.49904120,2.29584098,7.18474483,8.53670979,4
iTransformer,0,inter_peak,-1,四时距汇总,706724,1.44168019,2.20801973,6.90981960,8.20464039,16
iTransformer,0,pm_peak,15,15分钟,87674,1.70063245,2.69928312,8.47343254,10.45461464,4
iTransformer,0,pm_peak,30,30分钟,87674,1.82426107,2.94620585,9.08941364,11.35599899,4
iTransformer,0,pm_peak,45,45分钟,87674,1.91052723,3.10958099,9.51923656,11.96777534,4
iTransformer,0,pm_peak,60,60分钟,87674,1.96776164,3.19656324,9.80440712,12.37381649,4
iTransformer,0,pm_peak,-1,四时距汇总,350696,1.85079563,2.99390101,9.22162342,11.53805161,16
iTransformer,0,off_peak,15,15分钟,275508,1.88705957,2.81441212,8.00442219,9.51109409,30
iTransformer,0,off_peak,30,30分钟,276329,1.92038655,2.85900331,8.14989376,9.72139835,28
iTransformer,0,off_peak,45,45分钟,277059,1.95391726,2.89930010,8.29483223,9.90017414,25
iTransformer,0,off_peak,60,60分钟,277726,1.98660886,2.93423295,8.43600655,10.07666874,26
iTransformer,0,off_peak,-1,四时距汇总,1106622,1.93710411,2.87721872,8.22170544,9.80296326,109
