id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
52651,S165_WesternBlvd_road_northbound_middle_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.966438,-1.190917,52.966438,-1.190869,52.966438,-1.190893
52652,S165_WesternBlvd_road_northbound_right_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.966438,-1.190869,52.966442,-1.190817,52.96644,-1.190843
52653,S204_WesternBlvd_road_RHS_not002,,CLOCKWISE_ONLY,False,False,False,52.967552,-1.190784,52.967556,-1.190831,52.967554,-1.1908075
52661,S161_AspleyLn_crossing_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967651,-1.190838,52.967598,-1.190848,52.9676245,-1.190843
52662,S161_AspleyLn_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967899,-1.191165,52.96785,-1.191211,52.9678745,-1.191188
52663,S161_AspleyLn_crossing_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967842,-1.191196,52.967819,-1.191137,52.9678305,-1.1911665
52664,S285_MansfieldRd_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.96352,-1.152023,52.963528,-1.151954,52.963524,-1.1519884999999999
52665,S285_MansfieldRd_road_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.963543,-1.151961,52.963554,-1.151851,52.9635485,-1.1519059999999999
52666,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.963501,-1.15196,52.963509,-1.15186,52.963505,-1.15191
52680,S251_RadcliffeRd_Path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.938568,-1.128342,52.938587,-1.128345,52.938577499999994,-1.1283435
52681,S251_RadcliffeRd_Road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.938587,-1.12828,52.938641,-1.128296,52.938614,-1.128288
52682,Journey_Times,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.938587,-1.12828,52.938641,-1.128296,52.938614,-1.128288
52756,s151_WesternBlvd_road_not002_0,,CLOCKWISE_ONLY,False,False,False,52.967541,-1.19089,52.967541,-1.19094,52.967541,-1.190915
52757,s151_WesternBlvd_road_not002_1,,CLOCKWISE_ONLY,False,False,False,52.967529,-1.19084,52.967529,-1.19089,52.967529,-1.190865
53192,S287_WesterBlvd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.979462,-1.17565,52.979481,-1.17568,52.9794715,-1.175665
53193,S287_WesterBlvd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.979481,-1.17568,52.979519,-1.17573,52.9795,-1.175705
53194,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.979481,-1.17568,52.979519,-1.17573,52.9795,-1.175705
53195,S289_EdwardsLn_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988319,-1.14916,52.988331,-1.14906,52.988325,-1.1491099999999999
53196,S289_EdwardsLn_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988331,-1.14906,52.988338,-1.14901,52.9883345,-1.149035
53197,S290_RadfordRd_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.978241,-1.17439,52.978249,-1.17436,52.978245,-1.174375
53198,S290_RadfordRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.97826,-1.17434,52.978279,-1.17423,52.978269499999996,-1.174285
53199,S290_RadfordRd_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.978291,-1.17422,52.978298,-1.17417,52.978294500000004,-1.174195
53203,S292_JubileeCampusEntrance_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.954411,-1.19233,52.954399,-1.19226,52.954405,-1.192295
53204,S292_JubileeCampusEntrance_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.954369,-1.19223,52.95435,-1.19222,52.954359499999995,-1.192225
53205,S293_ThorneywoodMount_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.96537,-1.12443,52.965351,-1.1244,52.9653605,-1.124415
53206,S293_ThorneywoodMount_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.965359,-1.12439,52.965328,-1.12433,52.9653435,-1.12436
53207,S293_ThorneywoodMount_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.965321,-1.12433,52.965309,-1.1243,52.965315000000004,-1.1243150000000002
53208,S294_SneintonDale_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.95557,-1.11995,52.955559,-1.11992,52.9555645,-1.119935
53209,S294_SneintonDale_cycleLn_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.955582,-1.11983,52.95557,-1.11982,52.955576,-1.119825
53210,S294_SneintonDale_cycleLn_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.95549,-1.11984,52.955479,-1.11983,52.9554845,-1.1198350000000001
53211,S294_SneintonDale_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.955471,-1.1198,52.955448,-1.11974,52.9554595,-1.11977
53259,S294_SneintonDl_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.955521,-1.11992,52.95549,-1.11985,52.9555055,-1.119885
53260,S295_QueensDr_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.933788,-1.16079,52.933788,-1.16088,52.933788,-1.160835
53261,S295_QueensDr_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.933811,-1.16089,52.9338,-1.16102,52.9338055,-1.160955
53262,S296_AlfretonRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.961731,-1.17139,52.96175,-1.17136,52.961740500000005,-1.1713749999999998
53263,S296_AlfretonRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.96175,-1.17136,52.961788,-1.1713,52.961769000000004,-1.17133
53264,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.961849,-1.1716,52.961891,-1.17155,52.961870000000005,-1.171575
53511,S204_WesternBlvd_road_LHS_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.967449,-1.1906,52.967449,-1.1907,52.967449,-1.1906500000000002
53948,S32_PorchesterRd_cycleLn_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.96368,-1.12026,52.96368,-1.12029,52.96368,-1.120275
53961,S286_ValleyRd_road_not002,,CLOCKWISE_ONLY,False,False,False,52.979671,-1.17537,52.979729,-1.17542,52.9797,-1.175395
53962,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.979641,-1.17542,52.979691,-1.17549,52.979666,-1.175455
53965,S291_WilkinsonSt_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.972172,-1.17947,52.972191,-1.17945,52.972181500000005,-1.1794600000000002
53966,S291_WilkinsonSt_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.972221,-1.17956,52.972271,-1.17953,52.972246,-1.179545
53967,S291_WilkinsonSt_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.972252,-1.17942,52.97226,-1.17941,52.972256,-1.179415
53969,S288_EdwardsLn_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988178,-1.14912,52.988171,-1.14918,52.9881745,-1.1491500000000001
53970,S288_EdwardsLn_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.98814,-1.14927,52.98819,-1.14921,52.988165,-1.14924
53971,S288_EdwinstoweDr_path_LHS_not001,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988098,-1.14937,52.988121,-1.14941,52.9881095,-1.14939
53972,S288_EdwinstoweDr_road_not001,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988152,-1.14936,52.988178,-1.1494,52.988164999999995,-1.1493799999999998
53973,S288_EdwinstoweDr_path_RHS_not001,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.988152,-1.14945,52.988171,-1.14949,52.988161500000004,-1.14947
54705,S297_AlfretonRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.961121,-1.16984,52.96114,-1.16979,52.961130499999996,-1.169815
54706,S297_AlfretonRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.96109,-1.16994,52.961128,-1.16985,52.961109,-1.169895
54723,S262_MeltonRd(A606)_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.931889,-1.13637,52.931889,-1.13641,52.931889,-1.13639
54724,S262_MeltonRd(A606)_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.931889,-1.13641,52.931881,-1.13656,52.931884999999994,-1.136485
